id,type,label,icon,is_quick,sort_order,is_archived,created_at
clothing,expense,ביגוד,👕,false,6,false,2026-04-22 08:15:14.144657+00
custom-cat-1776846347155,income,מתנות,🎁,true,3,false,2026-04-22 08:25:47.327388+00
custom-cat-1776879339192,income,החזר,💸,true,4,false,2026-04-22 17:35:39.344753+00
entertainment,expense,בילויים,🎉,true,1,false,2026-04-22 08:15:14.144657+00
fines,expense,קנסות,⚠️,false,10,false,2026-04-22 08:15:14.144657+00
gear,expense,ציוד ואביזרים,🧰,false,5,false,2026-04-22 08:15:14.144657+00
gifts,expense,מתנות,🎁,false,13,false,2026-04-22 08:15:14.144657+00
haircut,expense,תספורת,✂️,false,11,false,2026-04-22 08:15:14.144657+00
health,expense,בריאות,❤️‍🩹,true,2,false,2026-04-22 08:15:14.144657+00
housing,expense,דיור,🏠,false,4,false,2026-04-22 08:15:14.144657+00
learning,expense,למידה והתפתחות,📚,false,7,false,2026-04-22 08:15:14.144657+00
loan,expense,החזר הלוואה,💰,false,12,false,2026-04-22 08:15:14.144657+00
refund,income,תמיכה כלכלית,👏,true,1,false,2026-04-22 08:15:14.144657+00
salary,income,שכר,💼,true,2,false,2026-04-22 08:15:14.144657+00
subscriptions,expense,מינויים,💳,false,8,false,2026-04-22 08:15:14.144657+00
transport,expense,תחבורה,🛴,true,3,false,2026-04-22 08:15:14.144657+00
vacation,expense,חופשה,✈️,false,9,false,2026-04-22 08:15:14.144657+00