id,category_id,label,icon,sort_order,is_archived,is_default,created_at
health-alt,health,רפואה משלימה,🌿,2,false,false,2026-04-22 08:15:14.144657+00
health-dental,health,שיניים,🦷,3,false,false,2026-04-22 08:15:14.144657+00
health-insurance,health,ביטוחים,🛡️,4,false,false,2026-04-22 08:15:14.144657+00
health-medicine,health,רפואה,🏥,1,false,true,2026-04-22 08:15:14.144657+00
housing-arnona,housing,ארנונה,🏛️,1,false,true,2026-04-22 08:15:14.144657+00
housing-home,housing,הוצאות הבית,🏠,2,false,false,2026-04-22 08:15:14.144657+00
learning-books,learning,ספרים,📚,1,false,true,2026-04-22 08:15:14.144657+00
learning-consulting,learning,ייעוץ מקצועי,🧠,3,false,false,2026-04-22 08:15:14.144657+00
learning-courses,learning,קורסים,🎓,2,false,false,2026-04-22 08:15:14.144657+00
sub-1776879344636,custom-cat-1776879339192,כללי,💵,1,false,true,2026-04-22 17:35:44.804863+00
sub-1776879416884,custom-cat-1776879339192,מס,🏦,2,false,false,2026-04-22 17:36:57.036328+00
sub-1776880208478,vacation,בילויים,🏊,1,false,true,2026-04-22 17:50:09.164501+00
sub-1776880230359,vacation,קניות,🛍️,2,false,false,2026-04-22 17:50:30.568796+00
sub-1776880240278,vacation,תחבורה,🚗,3,false,false,2026-04-22 17:50:40.451211+00
sub-1776880244159,vacation,לינה,🏨,4,false,false,2026-04-22 17:50:44.323698+00
sub-1776880372180,vacation,תחבורה ציבורית,✈️,5,true,false,2026-04-22 17:52:52.350684+00
sub-1776880687634,vacation,שונות,📂,5,false,false,2026-04-22 17:58:08.003882+00
sub-1776933769279,entertainment,מסיבות,🎉,2,true,false,2026-04-23 08:42:49.572931+00
sub-1776933776336,entertainment,אוכל בחוץ,🍽️,1,true,true,2026-04-23 08:42:56.477536+00
subs-digital,subscriptions,דיגיטל,📱,1,false,true,2026-04-22 08:15:14.144657+00
subs-gym,subscriptions,חדר כושר,🏋️,2,false,false,2026-04-22 08:15:14.144657+00
transport-fuel,transport,דלק,⛽,4,false,false,2026-04-22 08:15:14.144657+00
transport-parking,transport,חנייה,🅿️,2,false,false,2026-04-22 08:15:14.144657+00
transport-public,transport,ציבורית,🚌,3,false,false,2026-04-22 08:15:14.144657+00
transport-scooter,transport,קורקינט,🛴,1,false,true,2026-04-22 08:15:14.144657+00